word,definition,part_of_speech,synonyms
xeroradiography,radiography used especially in mammographic screening for breast cancer that produces an image using X-rays in a manner similar to the way an image is produced by light in xerography,noun,"['xeroradiograph', 'xeroradiographic', 'xeroradiographies', 'xeroradiography']"
polytomography,tomography performed along several sectional planes,noun,"['polytomographies', 'polytomography']"
xerography,a process for copying graphic matter by the action of light on an electrically charged photoconductive insulating surface in which the latent image is developed with a resinous powder,noun,"['xerographic', 'xerographically', 'xerographies', 'xerography']"
electrokymograph,an instrument for recording graphically the motion of the heart as seen in silhouette on a fluoroscopic screen,noun,"['electrokymograph', 'electrokymographic', 'electrokymographically', 'electrokymographies', 'electrokymographs', 'electrokymography']"
bronchography,the radiographic visualization of the bronchi and their branches after injection of a radiopaque substance,noun,"['bronchographic', 'bronchographies', 'bronchography']"
demography,"the statistical study of human populations especially with reference to size and density, distribution, and vital statistics",noun,"['demographer', 'demographers', 'demographies', 'demography']"
stercobilin,urobilin; especially : a brown levorotatory pigment C33H46N4O6 found in feces and urine,noun,"['stercobilin', 'stercobilins']"
sterile,failing to produce or incapable of producing offspring,adjective,"['sterile', 'sterilely', 'sterilities', 'sterility']"
stereoacuity,the ability to detect differences in distance using stereoscopic cues that is measured by the smallest difference in the images presented to the two eyes that can be detected reliably,noun,"['stereoacuities', 'stereoacuity']"
enterocolitis,enteritis affecting both the large and small intestine,noun,"['enterocolitis', 'enterocolitises']"
stereocilium,a specialized microvillus that superficially resembles a cilium and projects from the surface of certain cells (as the auditory hair cells and the superficial epithelial cells of the epididymis),noun,"['stereocilia', 'stereocilium', 'stereociliums']"
stereograph,a pair of stereoscopic pictures or a picture composed of two superposed stereoscopic images that gives a three-dimensional effect when viewed with a stereoscope or special glasses,noun,"['stereograph', 'stereographed', 'stereographing', 'stereographs']"
fecalith,a concretion of dry compact feces formed in the intestine or vermiform appendix,noun,"['faecalith', 'faecaliths', 'fecalith', 'fecaliths']"
capnograph,a monitoring device that measures the concentration of carbon dioxide in exhaled air and displays a numerical readout and waveform tracing,noun,"['capnograph', 'capnographic', 'capnography']"
pancytopenia,"an abnormal reduction in the number of red blood cells, white blood cells, and blood platelets in the blood; also : a disorder (as aplastic anemia) characterized by such a reduction",noun,"['pancytopenia', 'pancytopenias', 'pancytopenic']"
poltophagy,thorough chewing of food until it becomes like porridge,noun,"['poltophagies', 'poltophagy']"
Sarcophaga,the type genus of the family Sarcophagidae comprising typical flesh flies,noun,['Sarcophaga']
lymphocytopenia,a decrease in the normal number of lymphocytes in the circulating blood,noun,"['lymphocytopenia', 'lymphocytopenias', 'lymphocytopenic']"
autophagy,digestion of cellular constituents by enzymes of the same cell,noun,"['autophagic', 'autophagies', 'autophagy']"
granulocytopenia,deficiency of blood granulocytes; especially : agranulocytosis,noun,"['granulocytopenia', 'granulocytopenias', 'granulocytopenic']"
Mallophaga,an order of wingless insects comprising the biting lice,noun plural,"['Mallophaga', 'mallophagan']"
decalcification,the removal or loss of calcium or calcium compounds (as from bones or soil),noun,"['decalcification', 'decalcifications', 'decalcified', 'decalcifies', 'decalcify', 'decalcifying']"
glycosyltransferase,any of a group of enzymes that catalyze the transfer of glycosyl groups in biochemical reactions,noun,['glycosyltransferase']
methyltransferase,any of several transferases that promote transfer of a methyl group from one compound to another,noun,"['methyltransferase', 'methyltransferases']"
peptidyl transferase,an enzyme that catalyzes the addition of amino acid residues to the growing polypeptide chain in protein synthesis by means of peptide bonds,noun,['peptidyl transferase']
phosphotransferase,any of several enzymes that catalyze the transfer of phosphorus-containing groups from one compound to another,noun,"['phosphotransferase', 'phosphotransferases']"
DNA methyltransferase,a methyltransferase that promotes the covalent addition of a methyl group to a specific nucleotide base in a molecule of DNA,noun,['DNA methyltransferase']
transferase,an enzyme that promotes transfer of a group from one molecule to another,noun,"['transferase', 'transferases']"
supraoptic nucleus,a small nucleus of closely packed neurons that overlies the optic chiasma and is intimately connected with the neurohypophysis,noun,['supraoptic nucleus']
suprahepatic,situated superior to or on the surface of the liver,adjective,['suprahepatic']
supraglottitis,"epiglottitis that is not confined to the epiglottis but that extends to other structures (as the pharynx, uvula, base of the tongue, aryepiglottic folds, or false vocal cords)",noun,['supraglottitis']
suprapubic,"situated, occurring, or performed from above the pubis",adjective,"['suprapubic', 'suprapubically', 'suprapubicly']"
supraspinatus,"a muscle of the back of the shoulder that arises from the supraspinous fossa of the scapula, that inserts into the top of the greater tubercle of the humerus, that is one of the muscles making up the rotator cuff of the shoulder, and that rotates the humerus laterally and helps to abduct the arm",noun,"['supraspinatus', 'supraspinatuses']"
supraventricular,relating to or being a rhythmic abnormality of the heart caused by impulses originating above the ventricles (as in the atrioventricular node),adjective,['supraventricular']
scrub,to clean and disinfect (the hands and forearms) before participating in surgery,verb,"['scrub', 'scrubbable', 'scrubbed', 'scrubbing', 'scrubs']"
galvanic,"of, relating to, involving, or producing a direct current of electricity",adjective,"['Galvani', 'galvanic', 'galvanically']"
aorta,the large arterial trunk that carries blood from the heart to be distributed by branch arteries through the body,noun,"['aorta', 'aortae', 'aortas', 'aortic']"
beta,the second letter of the Greek alphabet —symbol Β or β,noun,"['beta', 'betas']"
delta,the fourth letter of the Greek alphabet —symbol Δ or ƍ,noun,"['delta', 'delta wave', 'deltaic', 'deltas']"
isotone,one of two or more nuclides having the same number of neutrons,noun,"['isotone', 'isotones']"
isotype,any of the categories of antibodies determined by their physicochemical properties (as molecular weight) and antigenic characteristics that occur in all individuals of a species,noun,"['isotype', 'isotypes', 'isotypic']"
Lytta,a widespread genus of blister beetles (family Meloidae) containing the Spanish fly (L. vesicatoria),noun,['Lytta']
phytoncide,any of various bactericidal substances obtained from plants (as onion and garlic),noun,"['phytoncidal', 'phytoncide']"
biocide,a substance (as glutaraldehyde) that is destructive to many different organisms,noun,"['biocidal', 'biocide', 'biocides']"
hyoid arch,"the second branchial arch that gives rise to various parts of the side and front of the neck including the styloid process, part of the hyoid bone, and stapes",noun,['hyoid arch']
lacuna,"a small cavity, pit, or discontinuity in an anatomical structure: as",noun,"['lacuna', 'lacunae', 'lacunar', 'lacunas']"
metaconule,the posterior intermediate cusp of a mammalian upper molar between the hypocone and the metacone,noun,"['metaconule', 'metaconules']"
lactulose,a synthetic disaccharide C12H22O11 used as a laxative for chronic constipation and as an acidifier to reduce blood ammonia levels causing neurological symptoms in advanced liver disease,noun,['lactulose']
Dracunculus,a genus (the type of the family Dracunculidae) of greatly elongated nematode worms including the guinea worm,noun,['Dracunculus']
phlyctenule,a small vesicle or pustule; especially : one on the conjunctiva or cornea of the eye,noun,"['phlyctenule', 'phlyctenules']"
